ダウンロードした時刻：2021/07/04 19:18:38,,,,,,
,,,,,,
,東京,東京,東京,東京,東京,東京
年月日,降水量の合計(mm),日照時間(時間),平均風速(m/s),平均湿度(％),平均現地気圧(hPa),平均雲量(10分比)
,,,,,,
2021/6/8,0,9,2.2,64,1010.4,6.8
2021/6/9,0,13.1,2.8,55,1013.2,1.5
2021/6/10,0,13.2,2.7,64,1016.5,0.8
2021/6/11,0,9.6,3.4,68,1016.9,9.5
2021/6/12,0,4.8,3.7,73,1014,8.5
2021/6/13,0,3.2,2.7,68,1008.5,10
2021/6/14,3.5,0,2.2,92,1004.9,10
2021/6/15,1,7.2,2.5,80,1003.7,7
2021/6/16,30.5,0,2.3,87,1004.5,10
2021/6/17,3.5,4.8,2.7,77,1003.4,8.3
2021/6/18,0,7.9,3,69,1002.2,10
2021/6/19,12,0,2.9,95,999.8,10
2021/6/20,14.5,1,2.4,85,996.4,10
2021/6/21,0,5.3,2.6,74,1002.4,7.3
2021/6/22,0,3.2,2.9,76,1005.8,8.5
2021/6/23,1.5,0.1,2.2,82,1007.8,10
2021/6/24,0,3.3,2.8,78,1009.8,8.8
2021/6/25,19,3.9,2.7,79,1010.6,8.8
2021/6/26,0,4,2,74,1010.6,10
2021/6/27,0,0.8,2.1,78,1007,10
