‘S‘’n•ûŒö‹¤’c‘ÌƒR[ƒh,“s“¹•{Œ§–¼,Žs‹æ’¬‘º–¼,”»–¾_”NŒŽ“ú,PCRŒŸ¸—z«ŽÒ”,RŒ´ŒŸ¸—z«ŽÒ”,PCRŒŸ¸‰A«ŽÒ”,RŒ´ŒŸ¸‰A«ŽÒ”,ŒŸ¸l”(7“úŠÔˆÚ“®•½‹Ï),—z«—¦
130001,“Œ‹ž“s,,2021/3/10,251,43,6677,1619,7122.1,0.033
130001,“Œ‹ž“s,,2021/3/11,212,35,6360,1481,7190.4,0.032
130001,“Œ‹ž“s,,2021/3/12,253,51,6856,1495,7279.7,0.033
130001,“Œ‹ž“s,,2021/3/13,172,33,4492,1008,7245,0.033
130001,“Œ‹ž“s,,2021/3/14,87,35,1867,612,7269,0.034
130001,“Œ‹ž“s,,2021/3/15,236,58,6223,2052,7375.1,0.034
130001,“Œ‹ž“s,,2021/3/16,312,36,7542,1707,7400.7,0.035
130001,“Œ‹ž“s,,2021/3/17,231,34,6514,1480,7353.4,0.035
130001,“Œ‹ž“s,,2021/3/18,234,34,6413,1446,7359,0.035
130001,“Œ‹ž“s,,2021/3/19,247,47,7107,1548,7401,0.035
130001,“Œ‹ž“s,,2021/3/20,189,40,3244,771,7192.3,0.036
130001,“Œ‹ž“s,,2021/3/21,80,23,1512,637,7142.4,0.036
130001,“Œ‹ž“s,,2021/3/22,259,84,6683,2132,7226.6,0.037
130001,“Œ‹ž“s,,2021/3/23,314,49,8278,1733,7337.6,0.036
130001,“Œ‹ž“s,,2021/3/24,305,48,7099,1618,7453.4,0.037
130001,“Œ‹ž“s,,2021/3/25,277,62,6126,1506,7431.1,0.039
130001,“Œ‹ž“s,,2021/3/26,315,55,6723,1538,7385.7,0.041
130001,“Œ‹ž“s,,2021/3/27,215,28,4639,936,7610.6,0.04
130001,“Œ‹ž“s,,2021/3/28,141,23,2014,590,7684.3,0.04
130001,“Œ‹ž“s,,2021/3/29,219,60,6014,2085,7572.9,0.04
130001,“Œ‹ž“s,,2021/3/30,311,65,7277,1748,7433.9,0.041
130001,“Œ‹ž“s,,2021/3/31,325,46,6436,1550,7332,0.042
130001,“Œ‹ž“s,,2021/4/1,342,48,6397,1569,7387,0.042
130001,“Œ‹ž“s,,2021/4/2,321,58,7146,1558,7451.6,0.042
130001,“Œ‹ž“s,,2021/4/3,221,46,5193,968,7538.7,0.042
130001,“Œ‹ž“s,,2021/4/4,136,13,1955,517,7517.7,0.042
130001,“Œ‹ž“s,,2021/4/5,326,99,6486,1989,7592.3,0.044
130001,“Œ‹ž“s,,2021/4/6,406,58,7982,1627,7688.3,0.045
130001,“Œ‹ž“s,,2021/4/7,355,45,6768,1607,7748,0.046
130001,“Œ‹ž“s,,2021/4/8,407,92,6765,1611,7822.1,0.047
130001,“Œ‹ž“s,,2021/4/9,401,55,7761,1424,7901.9,0.048
130001,“Œ‹ž“s,,2021/4/10,298,57,5247,953,7920,0.05
130001,“Œ‹ž“s,,2021/4/11,155,21,2116,559,7952.9,0.05
130001,“Œ‹ž“s,,2021/4/12,344,119,6633,2275,8020.1,0.05
130001,“Œ‹ž“s,,2021/4/13,487,62,8716,1893,8175.1,0.051
130001,“Œ‹ž“s,,2021/4/14,440,66,8298,1749,8429.1,0.051
130001,“Œ‹ž“s,,2021/4/15,507,74,7529,1596,8547.9,0.052
130001,“Œ‹ž“s,,2021/4/16,475,80,7921,1681,8621.6,0.053
130001,“Œ‹ž“s,,2021/4/17,364,79,5644,1067,8707.1,0.054
130001,“Œ‹ž“s,,2021/4/18,191,46,2418,593,8763.9,0.054
130001,“Œ‹ž“s,,2021/4/19,441,135,7173,2380,8872.1,0.056
130001,“Œ‹ž“s,,2021/4/20,631,81,9795,1980,9062,0.057
130001,“Œ‹ž“s,,2021/4/21,567,108,8822,1882,9180,0.059
130001,“Œ‹ž“s,,2021/4/22,528,74,7518,1633,9186.7,0.059
130001,“Œ‹ž“s,,2021/4/23,552,91,8149,1820,9251.7,0.06
130001,“Œ‹ž“s,,2021/4/24,403,62,6350,1137,9365.7,0.06
130001,“Œ‹ž“s,,2021/4/25,224,41,2208,654,9348.4,0.06
130001,“Œ‹ž“s,,2021/4/26,488,128,6842,2198,9280.9,0.061
130001,“Œ‹ž“s,,2021/4/27,680,126,8730,1865,9125.7,0.064
130001,“Œ‹ž“s,,2021/4/28,660,117,8862,2002,9163.1,0.065
130001,“Œ‹ž“s,,2021/4/29,477,30,4632,677,8600.7,0.068
130001,“Œ‹ž“s,,2021/4/30,686,140,6762,2207,8484,0.072
130001,“Œ‹ž“s,,2021/5/1,638,108,7125,1295,8657.4,0.075
130001,“Œ‹ž“s,,2021/5/2,399,84,3978,834,8967.1,0.076
130001,“Œ‹ž“s,,2021/5/3,375,102,3546,1100,8319.6,0.079
130001,“Œ‹ž“s,,2021/5/4,473,102,4109,908,7489.7,0.084
130001,“Œ‹ž“s,,2021/5/5,369,75,3699,1070,6571.4,0.088
130001,“Œ‹ž“s,,2021/5/6,567,156,7463,2618,7284,0.084
130001,“Œ‹ž“s,,2021/5/7,871,156,11554,2348,8017.4,0.08
130001,“Œ‹ž“s,,2021/5/8,670,84,7440,1275,8060.7,0.079
130001,“Œ‹ž“s,,2021/5/9,291,55,2889,732,7871,0.079
130001,“Œ‹ž“s,,2021/5/10,641,133,8301,2688,8819.6,0.075
130001,“Œ‹ž“s,,2021/5/11,718,89,9692,2075,9817,0.071
130001,“Œ‹ž“s,,2021/5/12,623,81,8793,1970,10710.4,0.068
130001,“Œ‹ž“s,,2021/5/13,529,82,8038,1729,10649.6,0.067
130001,“Œ‹ž“s,,2021/5/14,543,86,8189,1763,10028.4,0.066
130001,“Œ‹ž“s,,2021/5/15,417,68,6661,1155,9861.6,0.063
130001,“Œ‹ž“s,,2021/5/16,223,35,2545,622,9784.1,0.062
130001,“Œ‹ž“s,,2021/5/17,442,102,7507,2544,9617.3,0.06
130001,“Œ‹ž“s,,2021/5/18,560,71,9138,1990,9500.9,0.058
130001,“Œ‹ž“s,,2021/5/19,529,78,8138,1647,9347.3,0.058
130001,“Œ‹ž“s,,2021/5/20,434,54,7213,1727,9211.6,0.056
130001,“Œ‹ž“s,,2021/5/21,453,75,8020,1777,9175,0.055
130001,“Œ‹ž“s,,2021/5/22,330,59,5655,1041,9001.3,0.055
130001,“Œ‹ž“s,,2021/5/23,178,29,2702,622,9016.4,0.054
130001,“Œ‹ž“s,,2021/5/24,358,97,6596,2266,8833.9,0.053
130001,“Œ‹ž“s,,2021/5/25,476,65,8407,1933,8708.4,0.053
130001,“Œ‹ž“s,,2021/5/26,469,62,7431,1801,8618.6,0.052
130001,“Œ‹ž“s,,2021/5/27,408,61,6703,1601,8525,0.052
130001,“Œ‹ž“s,,2021/5/28,413,55,7174,1633,8375,0.052
130001,“Œ‹ž“s,,2021/5/29,289,45,5460,949,8326.1,0.052
130001,“Œ‹ž“s,,2021/5/30,154,28,1895,562,8198.7,0.052
130001,“Œ‹ž“s,,2021/5/31,322,94,6162,2111,8109,0.052
130001,“Œ‹ž“s,,2021/6/1,364,67,7771,1942,8003.7,0.051
130001,“Œ‹ž“s,,2021/6/2,312,52,6811,1704,7877.4,0.048
130001,“Œ‹ž“s,,2021/6/3,332,60,6827,1729,7902.4,0.047
130001,“Œ‹ž“s,,2021/6/4,333,49,7410,1566,7914.3,0.045
130001,“Œ‹ž“s,,2021/6/5,221,40,5351,1007,7896.6,0.044
130001,“Œ‹ž“s,,2021/6/6,116,20,1830,630,7890.4,0.043
130001,“Œ‹ž“s,,2021/6/7,256,48,6418,2181,7921,0.041
130001,“Œ‹ž“s,,2021/6/8,332,49,7282,1914,7840,0.04
130001,“Œ‹ž“s,,2021/6/9,269,43,6290,1775,7768.3,0.04
130001,“Œ‹ž“s,,2021/6/10,278,48,6180,1661,7656.7,0.039
130001,“Œ‹ž“s,,2021/6/11,286,65,6718,1659,7566.7,0.039
130001,“Œ‹ž“s,,2021/6/12,211,39,4875,1016,7498.4,0.039
130001,“Œ‹ž“s,,2021/6/13,104,21,1922,611,7507.3,0.039
130001,“Œ‹ž“s,,2021/6/14,248,58,6229,2233,7488,0.039
130001,“Œ‹ž“s,,2021/6/15,368,45,7469,1923,7520.6,0.04
130001,“Œ‹ž“s,,2021/6/16,314,53,6351,1720,7529.3,0.041
130001,“Œ‹ž“s,,2021/6/17,279,46,5989,1634,7498,0.041
130001,“Œ‹ž“s,,2021/6/18,289,45,6395,1577,7437.7,0.041
130001,“Œ‹ž“s,,2021/6/19,228,46,4607,919,7389,0.041
130001,“Œ‹ž“s,,2021/6/20,115,21,1781,621,7371.9,0.042
130001,“Œ‹ž“s,,2021/6/21,288,97,5929,2212,7337.3,0.043
130001,“Œ‹ž“s,,2021/6/22,448,68,7446,1820,7334,0.046
130001,“Œ‹ž“s,,2021/6/23,351,74,6770,1770,7409.3,0.046
130001,“Œ‹ž“s,,2021/6/24,351,62,6457,1620,7486.7,0.047
130001,“Œ‹ž“s,,2021/6/25,448,61,7328,1614,7650.3,0.05
130001,“Œ‹ž“s,,2021/6/26,267,34,4651,1050,7679.1,0.05
130001,“Œ‹ž“s,,2021/6/27,147,31,1720,620,7676.3,0.051
130001,“Œ‹ž“s,,2021/6/28,319,84,5855,2221,7669.6,0.051
130001,“Œ‹ž“s,,2021/6/29,445,58,7720,1842,7710,0.051
130001,“Œ‹ž“s,,2021/6/30,399,61,6435,1580,7640,0.052
130001,“Œ‹ž“s,,2021/7/1,391,64,5074,1323,7406,0.054
130001,“Œ‹ž“s,,2021/7/2,307,63,4014,850,6803.6,0.056
